disease_name,scenario_label,crop_stage,weather_condition,water_condition,recommendation_type,recommendation_text,key_context_keywords
blast,බ්ලස්ට් ඒකාබද්ධ කළමනාකරණ මූලික මාර්ගෝපදේශය,general,any,any,cultural,"අතිශය පමා වගා කිරීමෙන් වළකින්න සහ අසල්වැසි ගොවීන් සමඟ වගා කාලය සමකාලීන කිරීමට උත්සාහ කරන්න. කොළ වායු ගලායාම හොඳින් සිදුවී ඉක්මනින් වියළීමට ඉඩ සලසන ලෙස නිර්දේශිත පරතරය පවත්වා ගන්න. දැඩි ලෙස ආසාදිත පඳුරු ඉතිරිවල පස මතුපිට තබා නොසිට, පසට ඇතුළත් කිරීම හෝ ඉවත් කිරීම සිදු කරන්න.","සමකාලීන වගා;පරතරය;ඉතිරි කළමනාකරණය;මූලික"
blast,බීජ පැළවල බ්ලස්ට් ලක්ෂණ පෙනෙන අවස්ථාව,nursery,rainy_humid,any,variety_seed,"බීජ පැළවල සාමාන්‍ය බ්ලස්ට් ලක්ෂණ පෙනෙන විට, පැළ මඩුව අතිශය ජලයෙන් තබා නොසිටින්න සහ කොළ ඉක්මනින් වියළීමට හොඳ පරතරය පවත්වා ගන්න. ඉදිරි වගාව සඳහා සහතික කළ බීජ භාවිතා කරන්න, නිර්දේශිත නම් අනුමත ෆංගිසයිඩ් මඟින් බීජ ප්‍රතිකාර කරන්න, සහ තැටි හෝ බිම් මඩුවල ඉතා ඝන ලෙස වපුරන්න එපා.","බීජ පැළ;මඩුව;බ්ලස්ට් ලක්ෂණ;බීජ ප්‍රතිකාර;වැසි සහිත මඩුව"
blast,ආර්ද්‍ර කාලගුණය යටතේ කොළ බ්ලස්ට් ඇති වර්ධන අවස්ථාව,vegetative,rainy_humid,flooded,chemical_biological,"වැසි සහ වලාකුළු සහිත, ජලය රැඳී ඇති වර්ධන අවස්ථාවේදී කොළ බ්ලස්ට් වේගයෙන් පැතිරෙන්නේ නම්, දේශීයව නිර්දේශිත අවශ්‍යතාව මත භාවිතා කරන ආරක්ෂිත ෆංගිසයිඩ් (බොහෝවිට ට්‍රයසෝල් හෝ ස්ට්‍රොබිලුරින් වර්ග) භාවිතා කරන්න. ඉහළ කොළ හොඳින් ආවරණය වන ලෙස සෙව්වන්න, හැකි නම් අතිරික්ත ජලය ඉවත් කරන්න, සහ ලේබල් උපදෙස් ඉක්මවා නැවත නැවත සෙව්වන්න එපා.","කොළ බ්ලස්ට්;තෙත්;වලාකුළු;ජලය රැඳීම;ෆංගිසයිඩ්"
blast,අධික නයිට්‍රජන් හේතුවෙන් ඉතා දළ වර්ධනයක් ඇති වගාව,vegetative,normal,any,nutrient_water,"නයිට්‍රජන් අධිකව භාවිතා කිරීමෙන් වගාව ඉතා දළ සහ තද හරිත පැහැයක් ගත්තේ නම්, අතිරේක ටොප්-ඩ්‍රෙසින්ග් නවතා, ඉදිරි කාලවලදී සම්මත N–P–K සමතුලිතතාවයට අවධානය යොමු කරන්න. නයිට්‍රජන් කුඩා කොටස්වලට බෙදා යෙදවන්න සහ මුල් අවස්ථාවේ එක් විශාල මාත්‍රාවක් යෙදවීමෙන් වළකින්න.","දළ වගාව;තද හරිත;අධික නයිට්‍රජන්;යූරියා වැඩි"
blast,වියළි කාලවල upland හෝ AWD ක්ෂේත්‍රවල බ්ලස්ට්,vegetative,dry_drought,awd,nutrient_water,"upland හෝ alternate wetting and drying (AWD) ක්ෂේත්‍රවල බ්ලස්ට් සහ අතුරු වියළි කාල පවතින විට වගාව තවදුරටත් ආතතියට පත් නොකරන්න. පස අතිශය ප裂 වීමට ඉඩ නොදී මධ්‍යස්ථ ආර්ද්‍රතාව පවත්වා ගන්න සහ නයිට්‍රජන් අධික ලෙස නොව සම්මත පොෂණය යෙදවන්න. අගලවල අතිරේක නයිට්‍රජන් යෙදවීමෙන් වළකින්න.","upland;AWD;විකල්ප තෙත් කිරීම;වියළි කාලය;පස ප裂"
blast,බූටින්ග් සහ හිඩින්ග් අවස්ථාවේ අධික ආර්ද්‍රතාව,booting_heading,rainy_humid,flooded,chemical_biological,"බූටින්ග් සිට හිඩින්ග් අවස්ථාව අතර වැසි සහ වලාකුළු සහිත කාලගුණය යටතේ බ්ලස්ට් අවදානම ඉහළ නම්, අවශ්‍යතාව මත දේශීයව නිර්දේශිත ආරක්ෂිත ෆංගිසයිඩ් සෙව්වක් සිදු කරන්න. ෆ්ලැග් කොළ සහ ඉදිරියට එන පැනිකලය ආරක්ෂා කිරීමේ අරමුණින්, ලේබල් මාත්‍රා සහ කාල පරතරය දැඩිව අනුගමනය කරන්න.","බූටින්ග්;හිඩින්ග්;ෆ්ලැග් කොළ;පැනිකලය;ආර්ද්‍රතාව"
blast,කප්පාදු ආසන්නයේ පසුකාලීන නෙක් බ්ලස්ට්,reproductive,rainy_humid,any,monitoring,"කප්පාදු ආසන්නයේ නෙක් බ්ලස්ට් පෙනේ නම්, අතිරේක ෆංගිසයිඩ් සෙව්වල ප්‍රයෝජනය සාමාන්‍යයෙන් අඩුය. හැකි තරම් ධාන්‍ය රැක ගැනීම සඳහා සැලකිලිමත් කප්පාදු හා පිරිසිදු කිරීම සිදු කර, ඉදිරි කාලය සඳහා වඩා ශක්තිමත් වැළැක්වීමේ ක්‍රියාමාර්ග සැලසුම් කරන්න.","නෙක් බ්ලස්ට්;කප්පාදු ආසන්නය;පසුකාලය;නිරීක්ෂණය"

brown_spot,වියළි කාලවල පෝෂණය සම්බන්ධ දම් ලප,vegetative,dry_drought,dry,nutrient_water,"වියළි සහ පෝෂණයෙන් දුර්වල තත්ත්වවල බොහෝ දම් ලප පෙනෙන විට, පෝෂණය සහ ජලය වැඩිදියුණු කිරීම ප්‍රමුඛ කරගන්න: නිර්දේශිත නයිට්‍රජන් සහ පොටෑසියම් යෙදවන්න, ජලය තිබේ නම් කාලෝචිත ජල සැපයුම නැවත ආරම්භ කරන්න. දිගු කාලීනව පස සෞඛ්‍යය වැඩිදියුණු කිරීමට සජීව ද්‍රව්‍ය හෝ සිලිකන් මූලාශ්‍ර එක් කරන්න.","වියළි කාලය;වැසි නැත;පෝෂණ ආතතිය;දුර්වල පස"
brown_spot,සැකසහිත බීජ සහිත මඩුවේ දම් ලප,nursery,any,any,variety_seed,"මඩුවේ බීජ පැළවල දම් කොළ දූෂණය පෙනේ නම් සහ බීජ මඟින් ආසාදනය සැක කළහොත්, ඉදිරි වගාව සඳහා සහතික කළ බීජ භාවිතා කරන්න සහ දේශීය නිර්දේශ අනුව උණු ජල හෝ ෆංගිසයිඩ් බීජ ප්‍රතිකාර සිදු කරන්න. ඉතා ඝන වපුරීමෙන් වළකින්න සහ හොඳ ජල නිකාසය තබා ගන්න.","මඩුව;බීජ පැළ;බීජ මඟින්;බීජ ප්‍රතිකාර;ඝන වපුරීම"
