text,label
"Leaves have many small brown spots with a yellow halo","SYMPTOM_DESCRIPTION"
"Small round brown lesions all over the leaf blade","SYMPTOM_DESCRIPTION"
"White narrow lines along the veins, like someone scraped the leaf","SYMPTOM_DESCRIPTION"
"Central tillers are dry and can be pulled out easily","SYMPTOM_DESCRIPTION"
"Leaf tips turning yellow and then drying back towards the base","SYMPTOM_DESCRIPTION"
"Leaves show spindle shaped grey spots with brown borders","SYMPTOM_DESCRIPTION"
"කොළේ ටික ටික කලු පැල්ලම් තියෙනවා","SYMPTOM_DESCRIPTION"
"පොතේ මැද්දෙන් කහ පැල්ලම් සහ ඉරීම් තියෙනවා","SYMPTOM_DESCRIPTION"
"Leaves are yellow-orange and plants are stunted and droopy","SYMPTOM_DESCRIPTION"
"On the underside of the leaf there is a white downy growth","SYMPTOM_DESCRIPTION"
"There are many tiny holes and scraped areas on the top of the leaf","SYMPTOM_DESCRIPTION"
"Some leaves look burnt from the tip, as if scorched","SYMPTOM_DESCRIPTION"
"Brown spots are bigger in the middle of the leaf and some have grey centres","SYMPTOM_DESCRIPTION"
"The field looks patchy, some clumps very yellow and short","SYMPTOM_DESCRIPTION"
"පළු කොළවට කහ පැල්ලම් සහ කලාපයක් වගේ තියෙනවා","SYMPTOM_DESCRIPTION"
"Thin white streaks running parallel to the veins on most leaves","SYMPTOM_DESCRIPTION"
"Seedlings in the nursery have brown blighted leaves and poor stand","SYMPTOM_DESCRIPTION"
"Leaves curling and drying early with pale yellow angular patches","SYMPTOM_DESCRIPTION"
"Leaves are mostly healthy green, I don’t see any clear spots","SYMPTOM_DESCRIPTION"
"Neck region of the panicle turning brown and breaking, grains empty","SYMPTOM_DESCRIPTION"
"Rainy and humid, and leaves have white spots appearing on upper half","SYMPTOM_DESCRIPTION"
"During a dry spell leaves developed many brown lesions","SYMPTOM_DESCRIPTION"
"In nursery, seedlings show brown blight on the leaves","SYMPTOM_DESCRIPTION"
"At booting stage we see grey spindle lesions near the neck","SYMPTOM_DESCRIPTION"
"Grains are not filling properly, plants look yellow","SYMPTOM_DESCRIPTION"
"Field edges have stunted yellow clumps with spotted leaves","SYMPTOM_DESCRIPTION"
"Some hills are completely dried in the middle, outer leaves still green","SYMPTOM_DESCRIPTION"
"කොළේ ඉහළ පැත්තෙන් කහ වෙනවා පසුව වටින් වියලෙලා යනවා","SYMPTOM_DESCRIPTION"
"Thin white streaks and skeletonised leaves all over the field","SYMPTOM_DESCRIPTION"
"Small brown spots started in nursery and now more in main field","SYMPTOM_DESCRIPTION"
"Leaves have long water-soaked streaks from tip to base","SYMPTOM_DESCRIPTION"
"Leaf surface looks scraped and silvery, very thin tissue left","SYMPTOM_DESCRIPTION"
"Leaves are mottled yellow and green with rusty dots","SYMPTOM_DESCRIPTION"
"Spots are mostly on the lower leaves near the base","SYMPTOM_DESCRIPTION"
"Brown lesions with yellow halo spreading upward on the leaf","SYMPTOM_DESCRIPTION"
"Leaves in the centre of the hill are dry but outer leaves look ok","SYMPTOM_DESCRIPTION"
