text,label
burnt leaf tips drying back lot of rain and cloudy days and at tillering stage,SYMPTOM_DESCRIPTION
burnt leaf tips drying back it is very rainy and humid these days and at nursery stage,SYMPTOM_DESCRIPTION
small brown spots on the leaves weather is dry and hot and at nursery stage,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth very dry spell with cracked soil and at near harvest,SYMPTOM_DESCRIPTION
central tillers drying and pulling out easily at tillering stage,SYMPTOM_DESCRIPTION
burnt leaf tips drying back lot of rain and cloudy days and at vegetative stage,SYMPTOM_DESCRIPTION
small brown spots on the leaves it is very rainy and humid these days and at vegetative stage,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth it is very rainy and humid these days,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth very dry spell with cracked soil and at vegetative stage,SYMPTOM_DESCRIPTION
burnt leaf tips drying back,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth it is very rainy and humid these days and at tillering stage,SYMPTOM_DESCRIPTION
central tillers drying and pulling out easily,SYMPTOM_DESCRIPTION
small brown spots on the leaves very dry spell with cracked soil,SYMPTOM_DESCRIPTION
central tillers drying and pulling out easily lot of rain and cloudy days and at vegetative stage,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth at tillering stage,SYMPTOM_DESCRIPTION
white narrow lines along the veins lot of rain and cloudy days,SYMPTOM_DESCRIPTION
burnt leaf tips drying back at vegetative stage,SYMPTOM_DESCRIPTION
small brown spots on the leaves it is very rainy and humid these days,SYMPTOM_DESCRIPTION
yellow orange leaves and stunted plants weather is dry and hot,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth at booting stage,SYMPTOM_DESCRIPTION
yellow orange leaves and stunted plants,SYMPTOM_DESCRIPTION
white narrow lines along the veins weather is dry and hot,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth very dry spell with cracked soil,SYMPTOM_DESCRIPTION
yellow orange leaves and stunted plants weather is dry and hot and at nursery stage,SYMPTOM_DESCRIPTION
small brown spots on the leaves at tillering stage,SYMPTOM_DESCRIPTION
burnt leaf tips drying back it is very rainy and humid these days and at near harvest,SYMPTOM_DESCRIPTION
yellow orange leaves and stunted plants it is very rainy and humid these days,SYMPTOM_DESCRIPTION
small brown spots on the leaves at vegetative stage,SYMPTOM_DESCRIPTION
burnt leaf tips drying back lot of rain and cloudy days and at booting stage,SYMPTOM_DESCRIPTION
small brown spots on the leaves,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth,SYMPTOM_DESCRIPTION
white narrow lines along the veins weather is dry and hot and at near harvest,SYMPTOM_DESCRIPTION
small brown spots on the leaves very dry spell with cracked soil and at vegetative stage,SYMPTOM_DESCRIPTION
central tillers drying and pulling out easily weather is dry and hot,SYMPTOM_DESCRIPTION
burnt leaf tips drying back lot of rain and cloudy days and at near harvest,SYMPTOM_DESCRIPTION
pale yellow angular patches with downy growth weather is dry and hot and at nursery stage,SYMPTOM_DESCRIPTION
white narrow lines along the veins it is very rainy and humid these days,SYMPTOM_DESCRIPTION
